Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2020,1,1,0,0,0,0,27.6,31.7,25.4,10.8,47.5
Newton,2020,1,2,0,0,0,0,27.4,30.7,25.4,10.1,38.2
Newton,2020,1,3,1.8,1.8,1.8,1.8,27.4,30.8,25.7,10.4,45.4
Newton,2020,1,4,1.4,0.8,0.8,0.8,26.8,30.2,25.4,10.4,47.2
Newton,2020,1,5,0,0,0,0,27.5,31.7,24.8,10.4,38.5
Newton,2020,1,6,10.2,5.6,6.8,8.8,26.3,32.2,23.6,11.9,49.7
Newton,2020,1,7,2.6,1,1.2,1.4,25.9,30.2,23.1,11.5,40
Newton,2020,1,8,1.4,1.2,1.2,1.2,27.2,31,25.1,10.8,37.4
Newton,2020,1,9,0,0,0,0,27.5,31.7,25.6,10.8,41
Newton,2020,1,10,2,1.6,1.6,1.6,26.6,31.1,24.9,9.7,36.4
Newton,2020,1,11,0,0,0,0,27.6,31.1,24.7,8.3,25.9
Newton,2020,1,12,5,1.6,3,4.4,27.3,33,25.2,9.4,34.9
Newton,2020,1,13,0,0,0,0,27.3,32.1,24.3,10.4,41
Newton,2020,1,14,0,0,0,0,27.4,32.1,25,10.8,39.6
Newton,2020,1,15,0,0,0,0,27.3,31.4,25.2,10.4,37.8
Newton,2020,1,16,1.6,1.4,1.6,1.6,27.3,32,25.9,10.1,36
Newton,2020,1,17,0,0,0,0,27.9,33.5,25.1,10.1,39.2
Newton,2020,1,18,0.4,0.4,0.4,0.4,27.5,32.5,25.3,9.7,34.2
Newton,2020,1,19,0,0,0,0,27.9,31.2,25.8,10.1,38.5
Newton,2020,1,20,0,0,0,0,27.7,31.3,26.1,9.7,41.4
Newton,2020,1,21,29.2,19.4,20.4,22,25.9,27.2,23.8,11.5,49.7
Newton,2020,1,22,0,0,0,0,27.7,31.3,25.4,10.8,40
Newton,2020,1,23,0,0,0,0,27.8,32.2,25.4,10.8,36
Newton,2020,1,24,0,0,0,0,27.6,32.3,25.2,11.5,41
Newton,2020,1,25,0,0,0,0,27.7,32.8,24.8,10.4,34.9
Newton,2020,1,26,0,0,0,0,28.1,35.4,25.2,9.7,36
Newton,2020,1,27,18,14.6,15.6,17.8,27.2,33.1,25.2,9.7,34.2
Newton,2020,1,28,0,0,0,0,28.2,31.7,26,10.1,29.9
Newton,2020,1,29,71.4,22.8,26,35.6,25.9,32,23.3,10.4,37.4
Newton,2020,1,30,0.2,0.2,0.2,0.2,26.9,32.4,23.3,10.4,37.4
Newton,2020,1,31,0,0,0,0,28,31.9,26.2,10.8,43.9
Newton,2020,2,1,0,0,0,0,27.6,31.2,26,11.9,46.8
Newton,2020,2,2,0,0,0,0,27.3,30.7,25.9,13,48.2
Newton,2020,2,3,0,0,0,0,27.6,31.9,25.2,11.5,40.7
Newton,2020,2,4,0,0,0,0,27.4,31.8,24.9,11.2,37.1
Newton,2020,2,5,0,0,0,0,27.5,32.9,25,11.5,38.2
Newton,2020,2,6,0,0,0,0,27.7,32.3,25.4,11.9,40.7
Newton,2020,2,7,0,0,0,0,27.6,31.8,25.4,12.6,46.8
Newton,2020,2,8,0,0,0,0,27.5,31.4,24.7,11.2,35.3
Newton,2020,2,9,4.6,2.2,2.4,2.4,25.8,29.9,23.1,13,37.8
Newton,2020,2,10,2.4,1.8,2,2.2,26.5,32.6,22.8,10.8,40.3
Newton,2020,2,11,71.6,13,19.6,32.2,26.1,31,23.5,10.1,37.8
Newton,2020,2,12,0,0,0,0,27.4,31.4,24.9,10.4,36.7
Newton,2020,2,13,0,0,0,0,28.1,33.2,26,10.8,34.2
